story,season,primary_colour,exclusive,garment_pattern,print_pattern_type,number_of_components,number_of_pockets,pocket_type,neck,collar,placket,length,sleeve_length,sleeve_type,hemline,waist_rise,footwear_ankle_type,closure,dress_type,top_style_type,jacket_type,distress,fade,dungaree_bottom_type,footwear_insole,fabric_story,fabric_weave_pattern,wash_care,footwear_upper_material,footwear_sole_material,fabric_composition,denim_cast,colour_intensity,color_family
,,Cashmere Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIGC_1693/06_11CL_DEEP INDIGO,,
,,Castor Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIGC_60231AC_1075CL_ECRU,,
,,Cedar Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIGC_MASCO_12CL_BLACK BY WHITE,,
,,Celadon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIGC_MASCO_12CL_IBST,,
,,Celeste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIGC_MASCO_12CL_INDIGO,,
,,Cerulean Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIGC_MLS5227_1150 _DARK IBST,,
,,Chalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chalk Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chalk Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chambray Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chambray Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chambray Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chambray Indigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Charcoal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Charcoal Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Charcoal Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Charcoal Grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Charcoal Melange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Charlock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Cherry Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chintz Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Choco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
